publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Jessica Sorensen,0,,Jessica Sorensen,None,0,A00B009LBO334,,by Jessica Sorensen,,12/2/12,THE SECRET OF ELLA AND MICHA,NA,4,6
Penguin Group,0,,Charlaine Harris,None,0,9.78E+12,,by Charlaine Harris,,6/10/12,DEADLOCKED,NA,4,1
Penguin Group,0,,Harlan Coben,None,0,9.78E+12,,by Harlan Coben,,4/29/12,STAY CLOSE,NA,4,1
Zebra,0,,Lisa Jackson,1420136070,0,9.78E+12,,by Lisa Jackson,,4/2/17,EXPECTING TO DIE,NA,3,3
St. Martin's,0,,J D Robb,1250123143,0,9.78E+12,,by J. D. Robb,,3/12/17,ECHOES IN DEATH,NA,3,3
Washington Square,0,,Fredrik Backman,1501115073,0,9.78E+12,,by Fredrik Backman,,3/12/17,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,NA,3,10
Ballantine,0,,J P Delaney,425285057,0,9.78E+12,,by J P Delaney,,2/26/17,THE GIRL BEFORE,NA,3,3
Delacorte,0,,Danielle Steel,345531116,0,9.78E+12,,by Danielle Steel,,2/5/17,THE MISTRESS,NA,3,1
Berkley,0,,Nora Roberts,425280128,0,9.78E+12,,by Nora Roberts,,1/8/17,ISLAND OF GLASS,NA,3,3
Grand Central,0,,James Patterson and Kathryn Fox,1455568139,0,9.78E+12,,by James Patterson and Kathryn Fox,,11/6/16,MISSING,NA,3,1
Viking,0,,Tana French,None,0,9.78E+12,,by Tana French,,11/6/16,THE TRESPASSER,NA,3,1
"Little, Brown",0,,James Patterson and Maxine Paetro,031627402X,0,9.78E+12,,by James Patterson and Maxine Paetro,,10/30/16,WOMAN OF GOD,NA,3,3
Gallery Books,0,,Catherine Coulter,1501150316,0,9.78E+12,,by Catherine Coulter,,9/11/16,INSIDIOUS,NA,3,1
Delacorte,0,,Danielle Steel,1101885572,0,9.78E+12,,by Danielle Steel,,8/7/16,MAGIC,NA,3,1
Berkley,0,,Nora Roberts,042528011X,0,9.78E+12,,by Nora Roberts,,7/17/16,BAY OF SIGHS,NA,3,3
EverAfter Romance,0,,Vi Keeland and Penelope Ward,1942215398,0,9.78E+12,,by Vi Keeland and Penelope Ward,,5/15/16,STUCK-UP SUIT,NA,3,3
Putnam,0,,C J Box,None,0,9.78E+12,,by C. J. Box,,4/10/16,OFF THE GRID,NA,3,3
Putnam,0,,Clive Cussler and Justin Scott,698406427,0,9.78E+12,,by Clive Cussler and Justin Scott,,4/3/16,THE GANGSTER,NA,3,1
Bantam,0,,Dean Koontz,345545966,0,9.78E+12,,by Dean Koontz,,1/10/16,ASHLEY BELL,NA,3,1
Atria,0,,Jennifer Weiner,1451617836,0,9.78E+12,,by Jennifer Weiner,,9/13/15,WHO DO YOU LOVE,NA,3,4
Putnam,0,,Catherine Coulter,None,0,9.78E+12,,by Catherine Coulter,,8/9/15,NEMESIS,NA,3,1
Roc,0,,Jim Butcher,None,0,9.78E+12,,by Jim Butcher,,6/29/14,SKIN GAME,NA,3,1
Bantam,0,,Janet Evanovich and Lee Goldberg,,0,9.78E+12,,by Janet Evanovich and Lee Goldberg,,3/30/14,THE CHASE,NA,3,1
Helen Cooper,0,,J S Cooper and Helen Cooper,None,0,9.78E+12,,by J. S. Cooper and Helen Cooper,,3/9/14,THE EX GAMES,NA,3,3
HarperCollins,0,,Joyce Maynard,61957658,0,9.78E+12,,by Joyce Maynard,,2/23/14,LABOR DAY,NA,3,1
Ecco/HarperCollins,0,,Amy Tan,62107313,0,9.78E+12,https://www.nytimes.com/2013/11/10/books/review/amy-tans-valley-of-amazement.html,by Amy Tan,,12/8/13,THE VALLEY OF AMAZEMENT,NA,3,4
Gail McHugh,0,,Gail McHugh,None,0,A00B00DULA3B2,,by Gail McHugh,,8/11/13,PULSE,NA,3,1
Putnam,0,,Catherine Coulter,None,0,9.78E+12,,by Catherine Coulter,,8/11/13,BOMBSHELL,NA,3,1
Hard Case Crime,0,,Stephen King,1781162646,0,9.78E+12,https://www.nytimes.com/2013/06/23/books/review/joyland-by-stephen-king.html,by Stephen King,,7/7/13,JOYLAND,NA,3,1
Broad Reach Publishing,0,,Hugh Howey,None,0,A00B0071XO8RA,,by Hugh Howey,,6/9/13,WOOL OMNIBUS EDITION,NA,3,3
Tor/Tom Doherty Associates,0,,Robert Jordan and Brandon Sanderson,1429997176,0,9.78E+12,,by Robert Jordan and Brandon Sanderson,,4/28/13,A MEMORY OF LIGHT,NA,3,4
Simon & Schuster,0,,Kyra Davis,1476711100,0,9.78E+12,,by Kyra Davis,,4/21/13,THE STRANGER,NA,3,1
Harlequin,0,,Susan Mallery,None,0,9.78E+12,,by Susan Mallery,,4/14/13,THREE SISTERS,NA,3,1
Grand Central Publishing,0,,Sandra Brown,1455546348,0,9.78E+12,,by Sandra Brown,,3/31/13,MIRROR IMAGE,NA,3,1
Abbi Glines,0,,Abbi Glines,None,0,A00B00AOTGI08,,by Abbi Glines,,3/31/13,FALLEN TOO FAR,NA,3,3
Penguin Group,0,,J D Robb,None,0,9.78E+12,,by J. D. Robb,,3/31/13,CALCULATED IN DEATH,NA,3,3
Elisabeth Naughton,0,,Elisabeth Naughton,985671955,0,9.78E+12,,by Elisabeth Naughton,,3/17/13,WAIT FOR ME,NA,3,3
Grand Central Publishing,0,,Brad Meltzer,None,0,9.78E+12,,by Brad Meltzer,,2/17/13,THE FIFTH ASSASSIN,NA,3,3
Penguin Group,0,,John Sandford,None,0,9.78E+12,,by John Sandford,,11/4/12,MAD RIVER,NA,3,1
Penguin Group,0,,Deborah Harkness,,0,9.78E+12,,by Deborah Harkness,,8/12/12,SHADOW OF NIGHT,NA,3,3
Morrow/HarperCollins,0,,Greg Iles,62311158,0,9.78E+12,,by Greg Iles,,4/10/17,MISSISSIPPI BLOOD,NA,2,1
HQN,0,,Linda Lael Miller,037378970X,0,9.78E+12,,by Linda Lael Miller,,4/10/17,FOREVER A HERO,NA,2,3
Putnam,0,,C J Box,399176616,0,9.78E+12,,by C. J. Box,,4/10/17,VICIOUS CIRCLE,NA,2,1
Delacorte,0,,Danielle Steel,110188388X,0,9.78E+12,,by Danielle Steel,,4/2/17,DANGEROUS GAMES,NA,2,1
Ballantine,0,,Jonathan Kellerman,345541448,0,9.78E+12,,by Jonathan Kellerman,,3/12/17,HEARTBREAK HOTEL,NA,2,1
Random House,0,https://www.nytimes.com/2017/02/09/books/review/lincoln-in-the-bardo-george-saunders.html,George Saunders,812995341,0,9.78E+12,,by George Saunders,,3/12/17,LINCOLN IN THE BARDO,NA,2,4
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,,1/29/17,BELOW THE BELT,NA,2,3
St. Martin‰Ûªs,0,,B A Paris,1250121019,0,9.78E+12,,by B. A. Paris,,12/18/16,BEHIND CLOSED DOORS,NA,2,3
Tijan,0,,Tijan,None,0,A00B01KSW4QJA,,by Tijan,,9/18/16,ANTI-STEPBROTHER,NA,2,1
Bantam,0,,Janet Evanovich and Phoef Sutton,553392689,0,9.78E+12,,by Janet Evanovich and Phoef Sutton,,9/11/16,CURIOUS MINDS,NA,2,1
Ballantine,0,,Tess Gerritsen,345543866,0,9.78E+12,,by Tess Gerritsen,,8/7/16,DIE AGAIN,NA,2,1
Putnam,0,,Grant Blackwood,399176802,0,9.78E+12,,by Grant Blackwood,,7/10/16,TOM CLANCY: DUTY AND HONOR,NA,2,5
"Little, Brown",0,,James Patterson with Max DiLallo,316317128,0,9.78E+12,,by James Patterson with Max DiLallo,,7/3/16,ZOO 2,NA,2,1
Ballantine,0,,Justin Cronin,804177643,0,9.78E+12,,by Justin Cronin,,6/19/16,THE CITY OF MIRRORS,NA,2,4
